,,Portfolio,,,,,,,Portfolio,,,,,,
,,Essential Range,,,,,,,Expert Range,,,,,,
,,,TDMS,,,,,,,TDMS,,,,,
Region,Country,FME Machine,TMON,"TSS 
(or Any FME EHR Registered)","Infrastructure/Country Readiness (Documents ready, Marketing training, Technical training, Application training)",Portfolio Completeness,Action Needed,,FME Machine,TMON Registered/Ready,TSS Registered/Ready,IDMS,"Infrastructure/Country Readiness (Documents ready, Marketing training, Technical training, Application training)",Portfolio Completeness,Action Needed
EMEA EAST,Albania,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA EAST,Algeria,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,No,Yes,Partial,No
EMEA EAST,Angola,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
LATAM,Argentina,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,No,No,Partial,No
EMEA EAST,Armenia,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
APAC,Australia,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,No,No,Partial,Evaluate IDMS
DACH,Austria,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,Yes,Yes,Complete,No
EMEA EAST,Azerbaijan,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA EAST,Bahrain,Yes,Yes,Yes,No,Partial,Missing document translation,,Yes,Yes,Yes,Yes,Yes,Complete,No
APAC,Bangladesh,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA EAST,Belarus,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA WEST,Belgium,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,Yes,Yes,Complete,No
LATAM,Belize,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA EAST,Benin,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,No,Yes,Partial,No
APAC,Bhutan,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
LATAM,Bolivia,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA EAST,Bosnia and Herzegovina - Federation,Yes,No,No,No,Partial,Missing document translation and product regsitration,,Yes,No,No,No,No,Partial,No
EMEA EAST,Botswana,Yes,No,Yes,No,Partial,No,,Yes,No,Yes,No,No,Partial,No
LATAM,Brazil,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,No,No,Partial,No
APAC,Brunei Darussalam,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA EAST,Bulgaria,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA EAST,Burkina Faso,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,No,Yes,Partial,No
APAC,Cambodia,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA EAST,Cameroon,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,No,Yes,Partial,No
EMEA WEST,Canada,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,"Assess Digital product laucnh (TMON, TSS and IDMS)"
EMEA EAST,Chad,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,No,Yes,Partial,No
LATAM,Chile,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,No,No,Partial,No
China & HK,China,,,,,,,,,,,,,,
LATAM,Colombia,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,No,No,Partial,No
LATAM,Costa Rica,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA EAST,Cote d'Ivoire,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,No,Yes,Partial,No
EMEA EAST,Croatia,Yes,Yes,No,Yes,Partial,No,,Yes,Yes,No,No,Yes,Partial,Assess IDMS Launch
LATAM,Cuba,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
LATAM,Curacao,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA EAST,Cyprus,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,No,Yes,Partial,No
EMEA WEST,Czech Republic,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,No,Yes,Partial,Assess IDMS Launch
EMEA EAST,Democratic Republic of Congo,Yes,Yes,Yes,No,Partial,No,,Yes,Yes,Yes,No,Yes,Partial,No
EMEA WEST,Denmark,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,Yes,Yes,Complete,No
LATAM,Dominican Republic,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
LATAM,Ecuador,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,No,No,Partial,Yes
EMEA EAST,Egypt,Yes,Yes,Yes,No,Partial,Missing document translation and product regsitration,,Yes,Yes,Yes,No,Yes,Partial,No
LATAM,El Salvador,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA EAST,Eritrea,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA WEST,Estonia,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,No,Yes,Partial,No
EMEA EAST,Eswatini,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA EAST,Ethiopia,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA WEST,Finland,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,Yes,Yes,Complete,No
EMEA WEST,France,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,Yes,Yes,Complete,No
EMEA EAST,Gabon,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,No,Yes,Partial,No
EMEA EAST,Gambia,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA EAST,Georgia,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
DACH,Germany,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,No,Yes,Partial,Assess IDMS Launch
EMEA EAST,Ghana,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA WEST,Great Britain,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,No,Yes,Partial,Assess IDMS Launch
EMEA EAST,Greece,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
LATAM,Guatemala,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
LATAM,Honduras,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
China & HK,Hong Kong Special Administrative Region of China,,,,,,,,,,,,,,
EMEA EAST,Hungary,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,No,Yes,Partial,No
EMEA WEST,Iceland,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,Yes,Yes,Complete,No
APAC,India,Yes,Yes,Yes,No,Partial,No,,Yes,Yes,Yes,No,No,Partial,Evaluate IDMS
APAC,Indonesia,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA EAST,Iraq,Yes,Yes,Yes,No,Partial,Missing document translation and product regsitration,,Yes,Yes,Yes,Yes,Yes,Complete,No
EMEA WEST,Ireland,Yes,No,Yes,No,Partial,No,,Yes,No,Yes,No,No,Partial,No
EMEA EAST,Islamic Republic of Iran,Yes,Yes,Yes,No,Partial,Missing document translation and product regsitration,,Yes,Yes,Yes,No,Yes,Partial,No
EMEA EAST,Israel,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,No,Yes,Partial,No
EMEA EAST,Italy,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,Yes,Yes,Complete,No
APAC,Japan,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA EAST,Jordan,Yes,Yes,Yes,No,Partial,Missing document translation and product regsitration,,Yes,Yes,Yes,No,Yes,Partial,No
EMEA EAST,Kazakhstan,Yes,Yes,No,Yes,Partial,No,,Yes,Yes,No,Yes,Yes,Partial,No
EMEA EAST,Kenya,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA EAST,Kosovo,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA EAST,Kuwait,Yes,Yes,Yes,No,Partial,Missing document translation and product regsitration,,Yes,Yes,Yes,No,Yes,Partial,No
EMEA EAST,Kyrgyzstan,Yes,Yes,No,Yes,Partial,No,,Yes,Yes,No,No,Yes,Partial,No
APAC,Laos,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA WEST,Latvia,Yes,No,No,No,Partial,"Missing Marketing training, document translation & application training",,Yes,No,No,No,No,Partial,No
EMEA EAST,Lebanon,Yes,No,No,No,Partial,"Missing Marketing training, document translation & application training",,Yes,No,No,No,No,Partial,No
EMEA EAST,Libya,Yes,Yes,Yes,No,Partial,Missing document translation and product regsitration,,Yes,Yes,Yes,No,Yes,Partial,No
EMEA WEST,Lithuania,Yes,No,No,Yes,Partial,No,,Yes,No,No,No,Yes,Partial,No
EMEA WEST,Luxembourg,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,No,Yes,Partial,Assess IDMS Launch
China & HK,Macau Special Administrative Region of China,Yes,,,,,No,,,,,,,,
EMEA EAST,Madagascar,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA EAST,Malawi,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
APAC,Malaysia,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,No,No,Partial,No
APAC,Maldives,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA EAST,Mali,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,No,Yes,Partial,No
EMEA EAST,Malta,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA EAST,Mauritania,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,No,Yes,Partial,No
EMEA EAST,Mauritius,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
LATAM,Mexico,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,No,No,Partial,No
EMEA EAST,Mongolia,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA EAST,Montenegro,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA EAST,Morocco,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,No,Yes,Partial,Assess IDMS Launch
EMEA EAST,Mozambique,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
APAC,Myanmar,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA EAST,Namibia,Yes,No,Yes,No,Partial,No,,Yes,No,Yes,No,No,Partial,No
APAC,Nepal,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA WEST,Netherlands,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,Yes,Yes,Complete,No
APAC,New Zealand,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,No,No,Partial,No
LATAM,Nicaragua,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA EAST,Niger,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,No,Yes,Partial,No
EMEA EAST,Nigeria,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA EAST,North Macedonia,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA WEST,Northern Ireland,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA WEST,Norway,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,No,Yes,Partial,No
EMEA EAST,Oman,Yes,Yes,Yes,No,Partial,Missing document translation and product regsitration,,Yes,Yes,Yes,No,Yes,Partial,No
APAC,Pakistan,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA EAST,Palestine,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,Yes,Yes,Complete,No
LATAM,Panama,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
LATAM,Paraguay,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
LATAM,Peru,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
APAC,Philippines,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA WEST,Poland,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,Yes,Yes,Complete,No
EMEA WEST,Portugal,Yes,Yes,No,Yes,Partial,No,,Yes,Yes,No,No,Yes,Partial,Assess IDMS Launch
EMEA EAST,Qatar,Yes,Yes,Yes,No,Partial,Missing document translation and product regsitration,,Yes,Yes,Yes,No,Yes,Partial,Assess IDMS Launch
APAC,Republic of Korea,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,No,No,Partial,Evaluate IDMS
EMEA EAST,Republic of Moldova,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
EMEA EAST,Romania,Yes,Yes,No,Yes,Partial,No,,Yes,Yes,No,No,Yes,Partial,Assess IDMS Launch
EMEA EAST,Russian Federation,Yes,Yes,No,Yes,Partial,Missing commercial release,,Yes,Yes,No,No,Yes,Partial,No
EMEA EAST,Rwanda,Yes,No,No,No,Partial,No,,Yes,No,No,No,No,Partial,No
