,,Portfolio,,,,,,,,,,,,,,,,,,,,Portfolio,,,,,,,,,,,,,,,,,,
,,Essentials Range,,,,,,,,,,,,,,,,,,,,Expert Range,,,,,,,,,,,,,,,,,,
,,Must-have portfolio,,,,,Nice-to-have portfolio,,,,,,,,,,,,,,,Must-have portfolio,,,,,,,Nice-to-have portfolio,,,,,,,,,,,
Region,Country,,,,,,,,,,Trading Goods,,,,,,,,,,,,,,,,,,Trading Goods,,,,,,,,,,,
,,,,,,,,,,,Seating,,Needles,Patient Preparation Sets,Syringes,Locking Solutions,,,,,,,,,,,,,Seating,,Needles,Patient Preparation Sets,Syringes,Locking Solutions,,,,,,
,,4008A Evo (or FME Alternative),Bibag,FX Classix,"Saubern/
Modular",DIASAFEplus,7Connect,Citrosteril,Bloodlines,Acid Concentrates,ETC-1B,PY-SOY,Light Needles,Easy On/Easy Off (Finesse),Saline Syringe (Steriset),Prefilled Syringe (MedXL),Technical service,Application consultancy,Portfolio Completeness,Action Needed,,4008SV10,Bibag,FX CorAL HD,4008 Bloodlines,"AquaBplus/
Saubern/
Modular",TDMS,DIASAFEplus,ETC-1B,PY-SOY,Light Needles,Easy On/Easy Off (Finesse),Saline Syringe (Steriset),Prefilled Syringe (MedXL),"Granumix+
CDS/ Smartbag","Citrosteril/
Puristeril",Technical service,Application consultancy,Portfolio Completeness,Action Needed
EMEA EAST,Albania,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Partial,No,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,currently not available,No,Yes,No,Yes,Partial,No
EMEA EAST,Algeria,Yes,Yes,FME alternative,No,Yes,No,No,3P/Local Alternative,No,No,No,No,No,No,No,No,No,Partial,Push Modular solution,,Yes,Yes,No,3P/Local Alternative,No,No,Yes,Yes,Yes,No,No,No,currently not available,Yes,No,No,No,Partial,Modular assessement
EMEA EAST,Angola,FME Alternative,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Partial,No,,Yes,Yes,FME Alternative,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,currently not available,Yes,Yes,Yes,Yes,Partial,No
LATAM,Argentina,FME Alternative,Yes,Yes,Yes,Yes,No,No,Yes,3P/Local Alternative,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Partial,No,,Yes,Yes,FME Alternative,Yes,Yes,Yes,Yes,No,No,No,No,No,currently not available,No,3P/Local Alternative,Yes,Yes,Partial,No
