,,Portfolio,,,,,,,,,,,,,,,,,,,Portfolio,,,,,,,,,,,,,,,,,,,
,,Essentials Range,,,,,,,,,,,,,,,,,,,Expert Range,,,,,,,,,,,,,,,,,,,
,,Must-have portfolio,,,,,,Nice-to-have Portfolio,,,,,,,,,,,,,Must-have portfolio,,,,,,,Nice-to-have portfolio,,,,,,,,,,,,
Region,Country,,,,,,,Trading Goods,,,,,,,,,,,,,,,,,,,,,,,Trading Goods,,,,,,,,,
,,,,,,,,Seating,,Needles,Patient Preparation Sets,Syringes,Locking Solutions,,,,,,,,,,,,,,,,,,Seating,,Needles,Patient Preparation Sets,Syringes,Locking Solutions,,,,
,,5008S,Bibag,FX CorAL 00,5008 bloodlines,AquaBplus,TDMS,SALSA A2,Comfort F3,Flex Needles,Easy On/Easy Off (Finesse),Saline Syringe (BD),Prefilled Syringe (MedXL),"Citrosteril/
Puristeril/
Sporotal 100*",Acid Concentrates,Application Consultancy ,Technical Service,Portfolio Completeness,Action Needed,,6008,Bibag,FX CorAL 00,6008 CAREset,AquaA,TDMS,IDMS,CDS,"Granumix/
Smartbag",Sporotal 100,SENSA i,Comfort E4,Plus Needles,Easy On/Easy Off (Submed),Saline Syringe (BD),Prefilled Syringe (DBM Co Branded),Application Consultancy ,Technical Service,Portfolio Completeness,Action Needed
EMEA EAST,Albania,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Partial,No,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,currently not available,Yes,No,Partial,No
EMEA EAST,Algeria,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Partial,HDF introduction,,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,currently not available,No,No,Partial,No
EMEA EAST,Angola,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Partial,TPI - NoTO,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,currently not available,No,No,Partial,No
LATAM,Argentina,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,3P/Local Alternative,Yes,Yes,Partial,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,currently not available,Yes,Yes,Partial,No
EMEA EAST,Armenia,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Partial,No,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,currently not available,No,No,Partial,No
APAC,Australia,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,FME alternative (Smartbag),Yes,Yes,Partial,Evaluate TDMS introduction,,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,currently not available,Yes,Yes,Partial,Evaluate the introduction of CDS
DACH,Austria,Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,No,No,No,Yes,Yes,yes,Yes,Partial,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,yes,No,currently not available,yes,Yes,Partial,No
EMEA EAST,Azerbaijan,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Partial,No,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,currently not available,No,No,Partial,No
EMEA EAST,Bahrain,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Partial,TPI - NoTO,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,currently not available,Yes,No,Partial,Concentrates assessment
APAC,Bangladesh,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Partial,"Evaluate coral TDSM, Part, TG",,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,currently not available,Yes,Yes,Partial,No
