,,Portfolio,,,,,,,,,,,,Portoflio,,,,,,,,,,,
,,Essential Range,,,,,,,,,,,,Expert Range,,,,,,,,,,,
,,HvHDF (Maximize Subs Vol),Fluid Management,,,Real Time Monitoring,,Services,,,,,,Sodium Management,HvHDF (Maximize Subs Vol),Fluid Management,,,Real Time Monitoring,,Services,,,,
Region,Country,AUTOSUBplus @ 5008S/X,BCM2,Hydration Insights,Electrodes,OCM BTM @ 5008S,TDMS/TMON @ 5008S,Medical Education,Application Consultancy,Technical service,Portfolio Completeness,Action Needed,,Sodium Management @ 6008,AUTOSUBplus,BCM2,Hydration Insights,Electrodes,"OCM, BTM, BVM @ 6008",TDMS/TMON @ 6008S,Medical Education,Application Consultancy,Technical service,Portfolio Completeness,Action Needed
EMEA EAST,Albania,Yes,No,No,Yes,Yes,No,No,Yes,No,Partial,No,,No,No,No,No,Yes,No,No,No,Yes,No,Partial,No
EMEA EAST,Algeria,No,No,No,Yes,No,No,No,No,No,Partial,5008 assessment,,No,No,No,No,Yes,No,No,No,No,No,Partial,No
EMEA EAST,Angola,Yes,No,No,No,Yes,No,No,No,Yes,Partial,No,,No,No,No,No,No,No,No,No,No,Yes,Partial,No
LATAM,Argentina,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Partial,Yes,,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Partial,Yes
EMEA EAST,Armenia,No,No,No,Yes,No,No,No,No,No,Partial,No,,No,No,No,No,Yes,No,No,No,No,No,Partial,No
APAC,Australia,Yes,FME alternative (BCM),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partial,Introduce BCM 2,,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Partial,Introduce BCM 2
DACH,Austria,Yes,No,No,Yes,Yes,yes,Yes,yes,Yes,Partial,NaMng Assessment,,No,Yes,No,No,Yes,Yes,Yes,Yes,yes,Yes,Partial,NaMng Assessment
EMEA EAST,Azerbaijan,No,No,No,Yes,No,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,No,No,No,Partial,No
EMEA EAST,Bahrain,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Partial,No,,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Partial,No
APAC,Bangladesh,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Partial,No,,No,No,No,No,No,No,No,Yes,Yes,Yes,Partial,No
EMEA EAST,Belarus,No,No,No,Yes,No,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,No,No,No,Partial,No
EMEA WEST,Belgium,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Partial,No,,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Partial,NaMng focus
LATAM,Belize,No,No,No,No,No,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,No,No,No,Partial,No
EMEA EAST,Benin,Yes,No,No,Yes,Yes,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,No,No,No,Partial,No
APAC,Bhutan,No,No,No,No,No,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,,No,No,Partial,No
LATAM,Bolivia,No,No,No,No,No,No,Yes,No,No,Partial,No,,No,No,No,No,No,No,No,Yes,No,No,Partial,No
EMEA EAST,Bosnia and Herzegovina - Federation,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Partial,No,,No,No,No,No,No,No,No,No,Yes,Yes,Partial,No
EMEA EAST,Botswana,Yes,No,No,No,Yes,No,No,No,Yes,Partial,No,,No,No,No,No,No,No,No,No,No,Yes,Partial,No
LATAM,Brazil,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Partial,Yes,,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Partial,Yes
APAC,Brunei Darussalam,Yes,FME alternative (BCM),Yes,Yes,Yes,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,,No,No,Partial,No
EMEA EAST,Bulgaria,Yes,No,No,Yes,Yes,No,No,Yes,No,Partial,No,,No,No,No,No,No,No,No,No,Yes,No,Partial,No
EMEA EAST,Burkina Faso,No,No,No,Yes,No,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,No,No,No,Partial,No
APAC,Cambodia,No,No,No,No,No,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,No,No,No,Partial,No
EMEA EAST,Cameroon,Yes,No,No,Yes,Yes,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,No,No,No,Partial,No
EMEA WEST,Canada,Yes,No,No,No,Yes,No,No,Yes,Yes,Partial,No,,No,Yes,No,No,No,No,No,No,Yes,Yes,Partial,6008 launch
EMEA EAST,Chad,No,No,No,Yes,No,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,No,No,No,Partial,No
LATAM,Chile,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Partial,Yes,,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Partial,Yes
China & HK,China,,,,,,,,,,,,,No,,,,,,,,,,,
LATAM,Colombia,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Partial,Yes,,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Partial,Yes
LATAM,Costa Rica,No,No,No,No,No,No,Yes,No,No,Partial,No,,No,No,No,No,No,No,No,Yes,No,No,Partial,No
EMEA EAST,Cote d'Ivoire,No,No,No,Yes,No,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,No,No,No,Partial,No
EMEA EAST,Croatia,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Partial,TDMS assessment,,No,Yes,No,No,No,No,No,No,Yes,Yes,Partial,TDMS assessment
LATAM,Cuba,No,No,No,No,No,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,No,No,No,Partial,No
LATAM,Curacao,No,No,No,No,No,No,Yes,No,No,Partial,No,,No,No,No,No,No,No,No,Yes,No,No,Partial,No
EMEA EAST,Cyprus,Yes,No,No,Yes,Yes,No,No,Yes,No,Partial,No,,No,No,No,No,No,No,No,No,Yes,No,Partial,No
EMEA WEST,Czech Republic,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Partial,"NaMng Focus
TDMS assessment",,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Partial,"NaMng Focus
TDMS assessment"
EMEA EAST,Democratic Republic of Congo,No,No,No,Yes,No,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,No,No,No,Partial,No
EMEA WEST,Denmark,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Partial,NaMng Focus,,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Partial,NaMng Focus
LATAM,Dominican Republic,No,No,No,No,No,No,Yes,No,No,Partial,No,,No,No,No,No,No,No,No,Yes,No,No,Partial,No
LATAM,Ecuador,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Partial,Yes,,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Partial,Yes
EMEA EAST,Egypt,No,No,No,Yes,No,Yes,No,Yes,No,Partial,No,,No,No,No,No,No,No,No,No,Yes,No,Partial,No
LATAM,El Salvador,NN,No,No,No,NN,No,Yes,No,No,Partial,No,,No,No,No,No,No,No,No,Yes,No,No,Partial,No
EMEA EAST,Eritrea,No,No,No,Yes,No,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,No,No,No,Partial,No
EMEA WEST,Estonia,Yes,No,No,Yes,Yes,Yes,No,No,No,Partial,No,,No,Yes,No,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,Eswatini,Yes,No,No,No,Yes,No,No,No,Yes,Partial,No,,No,No,No,No,No,No,No,No,No,Yes,Partial,No
EMEA EAST,Ethiopia,No,No,No,Yes,No,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,No,No,No,Partial,No
EMEA WEST,Finland,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Partial,No,,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Partial,NaMng Assessment
EMEA WEST,France,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Partial,"NaMng focus
TDMS assessment",,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Partial,"NaMng focus
TDMS assessment"
EMEA EAST,Gabon,Yes,No,No,Yes,Yes,No,No,No,No,Partial,No,,No,Yes,No,No,No,No,No,No,No,No,Partial,No
EMEA EAST,Gambia,No,No,No,Yes,No,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,No,No,No,Partial,No
EMEA EAST,Georgia,No,No,No,Yes,No,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,No,No,No,Partial,No
DACH,Germany,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Partial,Hydration Insights pilot,,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Partial,Hydration Insights pilot
EMEA EAST,Ghana,Yes,No,No,No,Yes,No,No,No,Yes,Partial,No,,No,No,No,No,No,No,No,No,No,Yes,Partial,No
EMEA WEST,Great Britain,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Partial,No,,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Partial,TDMS assestment
EMEA EAST,Greece,Yes,No,No,Yes,Yes,No,No,Yes,No,Partial,No,,No,No,No,No,No,No,No,No,Yes,No,Partial,No
LATAM,Guatemala,N,No,No,No,N,No,Yes,No,No,Partial,No,,No,No,No,No,No,No,No,Yes,No,No,Partial,No
LATAM,Honduras,N,No,No,No,N,No,Yes,No,No,Partial,No,,No,No,No,No,No,No,No,Yes,No,No,Partial,No
China & HK,Hong Kong Special Administrative Region of China,,,,,,,,,,,,,,,,,,,,,,,,
EMEA EAST,Hungary,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Partial,No,,No,No,No,No,No,No,No,No,Yes,Yes,Partial,No
EMEA WEST,Iceland,Yes,No,No,Yes,Yes,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,No,No,No,Partial,6008 Assessment
APAC,India,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Partial,Introduce BCM 2,,No,No,No,No,No,No,No,Yes,Yes,Yes,Partial,Introduce BCM 2
APAC,Indonesia,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Partial,Introduce BCM 2,,No,No,No,No,No,No,No,Yes,Yes,Yes,Partial,Introduce BCM 2
EMEA EAST,Iraq,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Partial,No,,No,No,No,No,No,No,No,No,Yes,No,Partial,No
EMEA WEST,Ireland,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Partial,No,,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Partial,TDMS assestment
EMEA EAST,Islamic Republic of Iran,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Partial,No,,No,No,No,No,No,No,No,No,Yes,No,Partial,No
EMEA EAST,Israel,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Partial,No,,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Partial,No
EMEA EAST,Italy,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Partial,No,,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Partial,NaMng focus
APAC,Japan,No,No,No,No,No,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,,No,No,Partial,No
EMEA EAST,Jordan,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Partial,No,,No,No,No,No,No,No,No,No,Yes,No,Partial,No
EMEA EAST,Kazakhstan,Yes,No,No,Yes,Yes,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,No,No,No,Partial,No
EMEA EAST,Kenya,Yes,No,No,No,Yes,No,No,No,Yes,Partial,No,,No,No,No,No,No,No,No,No,No,Yes,Partial,No
EMEA EAST,Kosovo,Yes,No,No,Yes,Yes,No,No,Yes,No,Partial,No,,No,No,No,No,No,No,No,No,Yes,No,Partial,No
EMEA EAST,Kuwait,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Partial,No,,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Partial,NaMng Assessment
EMEA EAST,Kyrgyzstan,No,No,No,Yes,No,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,No,No,No,Partial,No
APAC,Laos,No,FME alternative (BCM),Yes,No,No,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,,No,No,Partial,No
EMEA WEST,Latvia,Yes,No,No,Yes,Yes,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,No,No,No,Partial,No
EMEA EAST,Lebanon,No,No,No,Yes,No,No,No,Yes,No,Partial,No,,No,No,No,No,No,No,No,No,Yes,No,Partial,No
EMEA EAST,Libya,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Partial,No,,No,Yes,No,No,No,No,Yes,No,Yes,No,Partial,No
EMEA WEST,Lithuania,Yes,No,No,Yes,Yes,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,No,No,No,Partial,No
EMEA WEST,Luxembourg,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Partial,No,,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Partial,NaMng focus
China & HK,Macau Special Administrative Region of China,,,,,,,,,,,,,,,,,,,,,,,,
EMEA EAST,Madagascar,Yes,No,No,No,Yes,No,No,No,Yes,Partial,No,,No,No,No,No,No,No,No,No,No,Yes,Partial,No
EMEA EAST,Malawi,Yes,No,No,No,Yes,No,No,No,Yes,Partial,No,,No,No,No,No,No,No,No,No,No,Yes,Partial,No
APAC,Malaysia,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Partial,Introduce BCM 2,,No,No,No,No,No,No,No,Yes,Yes,Yes,Partial,Introduce BCM 2
APAC,Maldives,Yes,No,No,No,Yes,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,,No,No,Partial,No
