,,Portfolio,,,,,,,Portfolio,,,,,
,,Essential Range,,,,,,,Expert Range,,,,,
,,Technical Operations,Trainings,Water Quality Service,Architectural Service,,,,Technical Operations,Trainings,Water Quality Service,Architectural Service,,
Region,Country,Preventive Maintenance,On-Site People Training (Technician & Clinic Application Specialists),WT Performance Qualification Management,WT Room Project Plan,Portfolio Completeness,Action Needed,,Full Service Contract,"Advanced On-Site People Training (Digital Products, Water Quality, Therapy)",Water Quality Service,Dialysis clinic design consultancy service,Portfolio Completeness,Action Needed
EMEA EAST,Albania,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,No,No,Complete,No
EMEA EAST,Algeria,Yes,Yes,Yes,Yes,Complete,No,,Yes,No,No,Yes,Complete,No
EMEA EAST,Angola,Yes,Yes,Yes,Yes,Complete,No,,No,No,No,Yes,Complete,No
LATAM,Argentina,Yes,Yes,Yes,Yes,Complete,No,,No,Yes,No,No,Complete,No
EMEA EAST,Armenia,Yes,Yes,Yes,Yes,Complete,No,,No,No,No,No,Complete,No
APAC,Australia,Yes,Yes,No,Yes,Partial,Evaluate WT management,,Yes,Yes,No,No,Partial,Evaluate WQS
DACH,Austria,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,No,Yes,Complete,Promote WQS
EMEA EAST,Azerbaijan,Yes,Yes,Yes,Yes,Complete,No,,No,No,No,No,Complete,No
EMEA EAST,Bahrain,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,No,No,Complete,No
APAC,Bangladesh,Yes,Yes,No,No,Partial,No,,Yes,Yes,No,No,Partial,No
EMEA EAST,Belarus,Yes,Yes,Yes,Yes,Complete,No,,No,No,No,No,Complete,No
EMEA WEST,Belgium,Yes,Yes,Yes,Yes,Complete,Initiate Communication on TO & Education,,Yes,Yes,No,Yes,Complete,Promote WQS
LATAM,Belize,No,No,No,No,Partial,No,,No,No,No,No,Partial,No
EMEA EAST,Benin,No,Yes,No,Yes,Partial,No,,No,No,No,No,Partial,No
APAC,Bhutan,No,No,No,No,Partial,No,,No,No,No,No,Partial,No
LATAM,Bolivia,No,No,No,No,Partial,No,,No,No,No,No,Partial,No
EMEA EAST,Bosnia and Herzegovina - Federation,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,No,Complete,No
EMEA EAST,Botswana,No,Yes,No,Yes,Partial,No,,No,No,No,No,Partial,No
LATAM,Brazil,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,No,Complete,No
APAC,Brunei Darussalam,No,No,No,No,Partial,No,,No,No,No,No,Partial,No
EMEA EAST,Bulgaria,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,No,No,Complete,No
EMEA EAST,Burkina Faso,No,Yes,No,Yes,Partial,No,,No,No,No,No,Partial,No
APAC,Cambodia,No,No,No,No,Partial,No,,No,No,No,No,Partial,No
EMEA EAST,Cameroon,No,Yes,No,Yes,Partial,No,,No,No,No,No,Partial,No
EMEA WEST,Canada,Yes,Yes,Yes,Yes,Complete,Medical activities,,Yes,Yes,No,No,Complete,No
EMEA EAST,Chad,No,Yes,No,Yes,Partial,No,,No,No,No,No,Partial,No
LATAM,Chile,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,No,Complete,No
China & HK,China,,,,,,,,,,,,,
LATAM,Colombia,Yes,Yes,Yes,Yes,Complete,No,,No,Yes,Yes,No,Complete,Yes
