,,Winning Portfolio,,,,,,,,,,Winning Portfolio,,,,,,,,
,,Essential Range,,,,,,,,,,Expert Range ,,,,,,,,
Region,Country,5008S,New 5008S Bloodlines,CDS3,Bibag,FX Classix,AquaBplus,Acid Concentrates  SmartBag 300,Portfolio Completeness,Action Needed,,6008," Bloodlines/
6008 Careset",CDS3,Bibag,FXCorAL,AquaA,Acid Concentrates  SmartBag 300,Portfolio Completeness,Action Needed
EMEA EAST,Albania,Yes,Yes,No,Yes,Yes,Yes,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,Algeria,No,No,No,Yes,FME alternative,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,Angola,Yes,Yes,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
LATAM,Argentina,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial,No
EMEA EAST,Armenia,No,No,No,Yes,No,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
APAC,Australia,Yes,Yes,No,Yes,FME alternative,Yes,Yes,Partial,CDS introduction,,Yes,Yes,No,Yes,Yes,No,Yes,Partial,Introduce CDS
DACH,Austria,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial,No,,Yes,Yes,Yes,Yes,No,Yes,No,Partial,No
EMEA EAST,Azerbaijan,No,No,No,Yes,No,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,Bahrain,Yes,Yes,No,Yes,FME alternative,Yes,No,Partial,Concentrates assessment,,Yes,Yes,No,Yes,Yes,Yes,No,Partial,No
APAC,Bangladesh,Yes,Yes,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,Belarus,No,No,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA WEST,Belgium,Yes,Yes,Yes,Yes,FME alternative,Yes,Yes,Complete,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Complete,No
LATAM,Belize,No,No,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,Yes,No,No,Partial,No
EMEA EAST,Benin,Yes,Yes,No,Yes,FME alternative,Yes,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
APAC,Bhutan,No,No,No,Yes,FME alternative,No,No,Partial,No,,No,No,No,No,No,No,No,Partial,No
LATAM,Bolivia,No,Yes,No,Yes,FME Alternative,No,No,Partial,No,,No,No,No,Yes,Yes,No,No,Partial,No
EMEA EAST,Bosnia and Herzegovina - Federation,Yes,Yes,No,Yes,FME alternative,Yes,No,Partial,Concentrates assessment,,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,Botswana,Yes,Yes,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
LATAM,Brazil,Yes,Yes,No,Yes,Yes,Yes,No,Partial,Yes,,Yes,Yes,No,Yes,Yes,Yes,No,Partial,Yes
APAC,Brunei Darussalam,Yes,Yes,No,Yes,Yes,No,No,Partial,No,,No,No,No,No,No,No,No,Partial,No
EMEA EAST,Bulgaria,Yes,Yes,No,Yes,Yes,Yes,No,Partial,Concentrates assessment,,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,Burkina Faso,No,Yes,No,Yes,FME alternative,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
APAC,Cambodia,No,Yes,No,Yes,Yes,No,No,Partial,No,,No,No,No,No,No,No,No,Partial,No
EMEA EAST,Cameroon,Yes,No,No,Yes,FME alternative,Yes,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA WEST,Canada,Yes,Yes,No,Yes,Yes,No,No,Partial,CDS assestment,,Yes,Yes,No,Yes,No,No,No,Partial,Yes
EMEA EAST,Chad,No,Yes,No,Yes,FME alternative,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
LATAM,Chile,Yes,Yes,Yes,Yes,FME Alternative,Yes,No,Partial,No,,Yes,Yes,Yes,Yes,No,Yes,No,Partial,No
China & HK,China,,,,,,,,,,,,,,,,,,,
LATAM,Colombia,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial,No
LATAM,Costa Rica,No,No,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,Yes,No,No,Partial,No
EMEA EAST,Cote d'Ivoire,No,No,No,Yes,FME alternative,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,Croatia,Yes,Yes,No,Yes,Yes,Yes,No,Partial,No,,Yes,Yes,No,Yes,Yes,No,No,Partial,No
LATAM,Cuba,No,Yes,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,Yes,No,No,Partial,No
LATAM,Curacao,No,No,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,Yes,No,No,Partial,No
EMEA EAST,Cyprus,Yes,Yes,No,Yes,Yes,Yes,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA WEST,Czech Republic,Yes,Yes,No,Yes,Yes,Yes,Yes,Partial,No,,Yes,Yes,No,Yes,Yes,Yes,Yes,Partial,No
EMEA EAST,Democratic Republic of Congo,No,Yes,No,Yes,FME alternative,Yes,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA WEST,Denmark,Yes,Yes,Yes,Yes,FME alternative,Yes,Yes,Complete,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Complete,No
LATAM,Dominican Republic,No,Yes,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,Yes,No,No,Partial,No
LATAM,Ecuador,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial,No
EMEA EAST,Egypt,No,No,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,CorAL assessment
LATAM,El Salvador,No,No,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,Yes,No,No,Partial,No
EMEA EAST,Eritrea,No,No,No,Yes,FME alternative,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA WEST,Estonia,Yes,Yes,No,Yes,No,Yes,No,Partial,No,,Yes,Yes,No,Yes,Yes,No,No,Partial,No
EMEA EAST,Eswatini,Yes,Yes,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,Ethiopia,No,Yes,No,Yes,FME alternative,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA WEST,Finland,Yes,Yes,Yes,Yes,FME alternative,Yes,Yes,Complete,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Complete,No
EMEA WEST,France,Yes,Yes,Yes,Yes,FME alternative,Yes,Yes,Complete,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Complete,No
EMEA EAST,Gabon,Yes,Yes,No,Yes,FME alternative,Yes,No,Partial,No,,Yes,Yes,No,Yes,No,No,No,Partial,No
EMEA EAST,Gambia,No,No,No,Yes,FME alternative,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,Georgia,No,No,No,Yes,No,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
DACH,Germany,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Complete,Yes
EMEA EAST,Ghana,Yes,Yes,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA WEST,Great Britain,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Complete,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Complete,Yes
EMEA EAST,Greece,Yes,Yes,No,Yes,Yes,Yes,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
LATAM,Guatemala,No,No,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,Yes,No,No,Partial,No
LATAM,Honduras,No,No,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,Yes,No,No,Partial,No
China & HK,Hong Kong Special Administrative Region of China,,,,,,,,,,,,,,,,,,,
EMEA EAST,Hungary,Yes,Yes,No,Yes,FME alternative,Yes,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA WEST,Iceland,Yes,Yes,No,Yes,No,Yes,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,CorAL assessment / 6008 Assessment
APAC,India,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial,No,,No,No,Yes,Yes,No,No,No,Partial,No
APAC,Indonesia,Yes,Yes,No,Yes,Yes,Yes,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,Iraq,Yes,Yes,No,Yes,Yes,Yes,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
